debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0002,SHAW,evening,86.36,86.75
1003,1003_t0002,SHAW,and,87.38,87.87
1003,1003_t0002,SHAW,the,88.32,88.41
1003,1003_t0002,SHAW,candidates,88.41,89.01
1003,1003_t0002,SHAW,have,89.01,89.35
1003,1003_t0002,SHAW,no,89.46,90.09
1003,1003_t0002,SHAW,prior,90.16,90.52
1003,1003_t0002,SHAW,knowledge,90.52,91.02
1003,1003_t0002,SHAW,of,91.25,91.39
1003,1003_t0002,SHAW,our,91.39,91.55
1003,1003_t0002,SHAW,questions,91.55,92.27
1003,1003_t0002,SHAW,by,92.91,93.06
1003,1003_t0002,SHAW,agreement,93.06,93.53
1003,1003_t0002,SHAW,between,93.83,94.19
1003,1003_t0002,SHAW,the,94.19,94.26
1003,1003_t0002,SHAW,candidates,94.26,95.04
1003,1003_t0002,SHAW,the,95.29,95.37
1003,1003_t0002,SHAW,first,95.37,95.67
1003,1003_t0002,SHAW,question,95.67,96.14
1003,1003_t0002,SHAW,goes,96.14,96.49
1003,1003_t0002,SHAW,to,96.49,96.58
1003,1003_t0002,SHAW,gov,96.58,97.04
1003,1003_t0002,SHAW,dukakis,97.04,97.52
1003,1003_t0002,SHAW,you,98.09,98.24
1003,1003_t0002,SHAW,have,98.24,98.58
1003,1003_t0002,SHAW,two,98.58,98.74
1003,1003_t0002,SHAW,minutes,98.74,99.07
1003,1003_t0002,SHAW,to,99.07,99.19
1003,1003_t0002,SHAW,respond,99.19,99.74
1003,1003_t0002,SHAW,governor,101.24,101.65
1003,1003_t0002,SHAW,if,102.26,102.55
1003,1003_t0002,SHAW,kitty,102.55,102.95
1003,1003_t0002,SHAW,dukakis,103.09,103.74
1003,1003_t0002,SHAW,were,103.91,104.07
1003,1003_t0002,SHAW,raped,104.07,104.47
1003,1003_t0002,SHAW,and,104.85,105.01
1003,1003_t0002,SHAW,murdered,105.01,105.39
1003,1003_t0002,SHAW,would,106.97,107.29
1003,1003_t0002,SHAW,you,107.29,107.49
1003,1003_t0002,SHAW,favor,107.49,107.99
1003,1003_t0002,SHAW,an,109.18,109.33
1003,1003_t0002,SHAW,irrevocable,109.33,110.08
1003,1003_t0002,SHAW,death,110.19,110.5
1003,1003_t0002,SHAW,penalty,110.5,110.83
1003,1003_t0002,SHAW,for,111.23,111.37
1003,1003_t0002,SHAW,the,111.37,111.46
1003,1003_t0002,SHAW,killer,111.46,111.87
1003,1003_t0003,DUKAKIS,no,113.34,113.45
1003,1003_t0003,DUKAKIS,i,113.45,113.52
1003,1003_t0003,DUKAKIS,don't,113.52,113.75
1003,1003_t0003,DUKAKIS,bernard,113.75,114.08
1003,1003_t0003,DUKAKIS,and,114.08,114.2
1003,1003_t0003,DUKAKIS,i,114.2,114.27
1003,1003_t0003,DUKAKIS,think,114.27,114.49
1003,1003_t0003,DUKAKIS,you,114.49,114.57
1003,1003_t0003,DUKAKIS,know,114.57,114.79
1003,1003_t0003,DUKAKIS,that,114.79,114.92
1003,1003_t0003,DUKAKIS,i've,114.92,115.1
1003,1003_t0003,DUKAKIS,opposed,115.1,115.43
1003,1003_t0003,DUKAKIS,the,115.43,115.47
1003,1003_t0003,DUKAKIS,death,115.47,115.71
1003,1003_t0003,DUKAKIS,penalty,115.71,116.03
1003,1003_t0003,DUKAKIS,during,116.03,116.49
1003,1003_t0003,DUKAKIS,all,116.87,117.02
1003,1003_t0003,DUKAKIS,of,117.02,117.1
1003,1003_t0003,DUKAKIS,my,117.1,117.21
1003,1003_t0003,DUKAKIS,life,117.21,117.79
