feature,label,n_winner,n_loser,mean_winner,mean_loser,median_winner,median_loser,cohens_d,mw_pvalue,fixed_eff_coef,fixed_eff_pvalue,fixed_eff_significant_bh
f0_mean,Pitch (F0 mean Hz),11723,13898,152.7804936857647,150.58857268651073,149.23652225437064,146.87310956473152,0.06566937078803936,2.8521624888557148e-12,2.8200002481437747,9.48776243093341e-16,True
f0_std,Pitch variability (F0 std),11723,13898,31.23431046063616,34.335594231515635,28.2062017254998,31.444770171125032,-0.17177256544423986,1.4350987236946483e-38,-3.4405200597275836,1.2108957225581826e-60,True
intensity_mean_db,Loudness (intensity dB),11738,13910,60.58135674984809,60.62459706103815,61.34163356835751,61.23698163163322,-0.008557996138435092,0.058601878861930495,-0.14119890567441562,0.0036007098184317604,True
hnr_mean_db,Voice clarity (HNR dB),11738,13910,10.304635309577186,9.731109322882006,10.373602790201295,9.660027745147875,0.24032555205735273,7.228298147880892e-87,0.7171796578473395,1.2347535494918085e-173,True
jitter_local,Pitch perturbation (jitter),11726,13900,0.025592690765245694,0.025625472302573234,0.02493732321015215,0.025011845722308648,-0.005335711607819487,0.7686360877690106,6.863648181997836e-05,0.35146065217947825,False
shimmer_local,Amplitude perturbation (shimmer),11725,13899,0.11188908012645507,0.11196533789668708,0.1101138870017449,0.1096878049009739,-0.0035036512109437707,0.4344911907125113,-0.000481825185261044,0.052326214445108134,False
speech_rate_wps,Speech rate (words/sec),11738,13910,3.8775507302042427,3.882375379012555,3.622667247069498,3.6570499796826983,-0.0032798400798033167,0.06433495174137155,0.02374846662108846,0.20334165120129352,False
articulation_rate_wps,Articulation rate (words/sec),11738,13910,4.124205794675884,4.066748087246204,3.902439024390202,3.8767818177911755,0.0395714291223832,0.0010669407246752187,0.09449841089111591,2.4316117856955485e-07,True
total_pause_sec,Total pause time (sec),11738,13910,0.40189470097120467,0.2899108554996405,0.0,0.0,0.16465416192391186,1.862992689647652e-19,0.11657167378111824,1.078070936252057e-44,True
n_pauses,Pause count,11738,13910,1.0159311637416937,0.7721782890007189,0.0,0.0,0.15529072301374874,9.744453676342285e-18,0.2557765555611794,7.656971355466071e-41,True
syllable_rate_per_sec,Syllable rate (syll/sec),12125,14372,6.968641963562726,8.36284192733838,5.126014523707817,5.08819153472338,-0.04123147390595557,0.36875362466899664,-1.386817108876059,0.0010520878337449537,True
articulation_rate_syll_per_sec,Articulation rate (syll/sec),11738,13910,5.635926925457986,5.512578707089945,5.471956224350825,5.3369560069348,0.06947572945070424,2.682592303895825e-13,0.1639877187211418,2.411789798091624e-13,True
n_words,Words per sentence,12228,14507,14.034756297023225,13.604191080168194,11.0,10.0,0.03846036995920245,0.003029248271750549,0.45771230940211793,0.000865905430450023,True
type_token_ratio,Lexical diversity (TTR),12228,14507,0.9197274697415768,0.9185105259529882,1.0,1.0,0.00896352427346746,0.647797391092066,0.0006975672262114628,0.6763013572961974,False
flesch_reading_ease,Reading ease (Flesch),12228,14507,71.77384082627431,72.31805423835947,73.17000000000003,73.84500000000001,-0.019114070461346604,0.022627913486260885,-0.4987994018094488,0.16028926522413367,False
flesch_kincaid_grade,Grade level (FK),12228,14507,6.60993818216355,6.409022963346962,6.010000000000002,5.863636363636363,0.03570055512535666,0.002763642731970545,0.19707500555081436,0.004293771803535604,True
n_clauses,Clauses per sentence,12228,14507,1.8392214589466798,1.7426759495416007,1.0,1.0,0.08597545805521895,9.73146924145451e-09,0.10142853179571991,3.3932504944685154e-13,True
n_subordinate_clauses,Subordinate clauses,12228,14507,1.4135590448151782,1.2603570690011718,1.0,1.0,0.09253700702947702,5.37311498709699e-10,0.15784441545942454,1.3884323222981592e-14,True
parse_tree_depth,Syntactic depth,12228,14507,5.250981354268891,5.124698421451713,5.0,5.0,0.05164726105213526,1.753235663643389e-05,0.11591510135186756,0.00010508921980565876,True
mean_word_length,Mean word length (chars),12228,14507,4.154470804710501,4.142520024815607,4.143,4.125,0.012748936783324396,0.059067214886075456,0.011646905463568082,0.3118545068840664,False
vader_compound,Sentiment polarity (VADER),12228,14507,0.08608668629375203,0.0695658096091542,0.0,0.0,0.04469376841734404,0.00010506017115279059,0.014405730165116497,0.001727078249446288,True
vader_pos,Positive sentiment,12228,14507,0.10332212953876349,0.10064885917143448,0.0,0.0,0.017235774154441448,0.005912733350040281,0.00032026674966703563,0.8686785496731897,False
vader_neg,Negative sentiment,12228,14507,0.06076995420346745,0.05971889432687669,0.0,0.0,0.008362799509434577,0.6866247805538286,-0.00013489625997274192,0.9315079959847307,False
pct_pronouns_first,1st-person pronoun rate,12228,14507,0.056114229636898924,0.057050699662232016,0.04,0.0408,-0.014166183052169528,0.23931941468994222,-0.00196290184586384,0.017090328538104056,True
pct_pronouns_second,2nd-person pronoun rate,12228,14507,0.014977551521099119,0.016296188047149652,0.0,0.0,-0.03101995111047762,0.007636030613701767,-0.001239707913439155,0.01970512963164709,True
pct_pronouns_third,3rd-person pronoun rate,12228,14507,0.038598593392214595,0.04169287929964845,0.0,0.0,-0.04822933158843572,0.0021621501134918937,-0.0025724349196371427,0.0011560796326711544,True
pos_noun_rate,Noun rate,12228,14507,0.13252303729146223,0.12843660301923207,0.1333,0.125,0.043032130686896666,0.0004411854962644446,0.004713169503641276,6.106711423239388e-05,True
pos_verb_rate,Verb rate,12228,14507,0.14131489205103043,0.13886223891914248,0.1429,0.1429,0.030595833685574454,0.009938565925968854,0.0022516706957265297,0.024747873076406527,True
pos_adj_rate,Adjective rate,12228,14507,0.0490782302911351,0.04503882953057144,0.0222,0.0,0.06362199414551226,9.45470552491256e-08,0.0035004341527650976,1.0953969524937138e-05,True
pos_adv_rate,Adverb rate,12228,14507,0.04040713117435394,0.04291974908664783,0.0,0.0,-0.03608680110890974,0.014904260634170628,-0.002166992439998347,0.013073388718723508,True
damsl_IAFA,Imperative (command),12228,14507,0.03303892705266601,0.026194251051216654,0.0,0.0,0.04057611628408266,0.0009511965194329399,0.00779467408379917,0.0002313804909521532,True
damsl_EXPL,Explanation,12228,14507,0.06444226365718024,0.059143861584062866,0.0,0.0,0.02204339340244248,0.07257345304750347,0.0051376993233821526,0.08849089398887153,False
damsl_REJ,Rejection,12228,14507,0.00850507033038927,0.006203901564761839,0.0,0.0,0.027113933538612054,0.02721333678294736,0.001704330592665962,0.10969980249116205,False
damsl_AGR,Agreement,12228,14507,0.011612692181877658,0.007651478596539601,0.0,0.0,0.040921051478099026,0.000860212411624746,0.003633246346344662,0.0027790789716552154,True
damsl_HS,Historical reference,12228,14507,0.008423290807981682,0.012063141931481353,0.0,0.0,-0.03588593482457998,0.0034697690388341518,-0.0034094021875559115,0.007361126957602428,True
bias_APAT,Patriotism appeal,12228,14507,0.04285246974157671,0.051768111945957124,0.0,0.0,-0.04184336739628591,0.0006550307838111401,-0.007354090852635899,0.005660336733817495,True
bias_AF,Fear appeal,12228,14507,0.023388943408570492,0.02274763907079341,0.0,0.0,0.004274255476042392,0.7277131931353826,-0.0010255197998488882,0.5841575199834643,False
bias_AE,Emotional appeal,12228,14507,0.01512921164540399,0.018129179017026265,0.0,0.0,-0.02337224308732017,0.05694573750974717,-0.003578660782722742,0.025975585948589914,True
bias_UF,Unity framing,12228,14507,0.014965652600588812,0.016405873026814642,0.0,0.0,-0.01156819601633042,0.34603675336805406,-0.003367858264802268,0.030722103087646585,True
bias_IP,Personal stance (I believe...),12228,14507,0.05471050049067713,0.05500792720755497,0.0,0.0,-0.001306001036187538,0.9152789637247835,-0.0031327604098568113,0.2696133171301543,False
