sentence_id,debate_audio_id,duration_sec,n_words,f0_mean,f0_std,f0_min,f0_max,f0_range,f0_slope_hz_per_s,voiced_frac,intensity_mean_db,intensity_std_db,intensity_range_db,jitter_local,shimmer_local,hnr_mean_db,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,rms_mean,rms_std,total_pause_sec,n_pauses,mean_pause_sec,speech_duration_sec,speech_rate_wps,articulation_rate_wps,feature_status
1003_t0001_s001,1003,6.524,19,116.15616516381824,22.00848954179596,75.64983128063045,186.62501216713608,110.97518088650563,-3.258093678717362,0.5439137134052389,58.940609183468084,8.191026159385608,36.01779874004959,0.02133897527340948,0.10742110371499339,5.517074324530501,2243.6298350514066,4068.8189338235293,0.18778243719362744,0.027280723676085472,0.014677549712359905,0.0,0.0,0.0,6.523999999999997,2.9123237277743725,2.9123237277743725,ok
1003_t0001_s002,1003,3.202,9,113.40252710826955,12.035905192555688,76.5643367291463,132.50064094403538,55.93630421488908,-7.438905312304762,0.5488958990536278,59.495242729419004,9.734947340713017,36.21376509170594,0.02213586270444901,0.08822837068031973,6.1439459890513355,2096.894135920174,3818.533415841584,0.17180731745049505,0.030939454212784767,0.017530815675854683,0.31999999999999984,1.0,0.31999999999999984,2.882000000000002,2.8107432854465944,3.122831367106174,ok
1003_t0001_s003,1003,11.888,22,140.14007434151694,57.61447002785624,75.16015783436575,480.9705442792659,405.81038644490013,-2.7963244252807695,0.47932489451476795,55.06079126000041,12.295225732050296,42.85883290977467,0.027041194305850495,0.11896273321736597,7.028912119737942,2020.1015722398529,3785.009240591398,0.1602560063844086,0.025749381631612778,0.020447924733161926,2.6800000000000015,6.0,0.44666666666666693,9.208,1.8506056527590846,2.3892267593397047,ok
1003_t0001_s004,1003,11.525,17,139.8530009985527,25.81476499087376,77.65553736305586,188.84609785616763,111.19056049311178,0.7045055118643897,0.1784160139251523,63.2921958029596,14.45345786234424,44.31482522675129,0.015512102396600716,0.09916643702472405,-0.844098300109329,2437.162800770176,4343.425380886427,0.23786330289127425,0.0595422089099884,0.03423888981342316,2.5300000000000002,1.0,2.5300000000000002,8.994999999999997,1.4750542299349243,1.8899388549194003,ok
1003_t0002_s001,1003,8.903,24,136.42601511612008,43.184374535569916,75.8769354958264,497.5638636632517,421.6869281674253,-6.857834323415724,0.5591882750845547,62.7804136631751,8.198324288159295,39.00756784511853,0.017579791374895966,0.10702070690794792,4.293003957485761,2289.4101630446576,3940.8602150537636,0.21227808579749105,0.04044966772198677,0.024910273030400276,0.1899999999999995,1.0,0.1899999999999995,8.713000000000006,2.6957205436369747,2.754504762997817,ok
1003_t0002_s002,1003,12.064,27,132.27493078849926,28.258087592461735,76.45350615213506,318.41443431447726,241.9609281623422,-1.365022128016983,0.5078969243557773,58.72973522359305,10.368453367155514,40.427050303150196,0.017383333923238587,0.09297081972852433,7.015238079747103,2128.8566073898696,3798.652447089947,0.18349686879960317,0.031321898102760315,0.02095366083085537,1.4699999999999995,4.0,0.3674999999999999,10.594000000000008,2.238063660477452,2.5486124221257294,ok
1003_t0002_s003,1003,3.851,11,132.00074498160706,24.386765196422427,75.267155181128,181.4832434326149,106.2160882514869,-1.770499755629754,0.468586387434555,58.219194760813075,8.75011015346578,33.77372555007673,0.02244278554858658,0.11606917550340187,5.604432747169661,2347.0324877244075,4091.3610537190084,0.21466619318181818,0.02667110785841942,0.015086407773196697,0.21999999999999975,1.0,0.21999999999999975,3.6309999999999993,2.856400934822125,3.029468465987332,ok
1003_t0002_s004,1003,0.52,1,114.45727327937159,5.93131348285628,105.52887519637746,126.17921675475233,20.650341558374876,-66.35797144601044,0.20408163265306123,55.46164462331452,6.785752863231445,22.954435184118438,0.03115569653724494,0.09661606933452105,2.1988952329546403,2182.5803361456005,3974.7242647058824,0.17130055147058823,0.0185074545443058,0.009652516804635525,0.0,0.0,0.0,0.519999999999996,1.9230769230769378,1.9230769230769378,ok
1003_t0002_s005,1003,1.581,6,130.39986727436624,65.33001734925654,75.63453396115878,370.99726220170567,295.36272824054686,49.9872433239735,0.6,58.47615352137493,5.978445244247688,24.433344670432362,0.025287384334819894,0.13543830960503164,6.574494326620556,2266.7803205132436,4122.8125,0.18125,0.02126678079366684,0.008027227595448494,0.0,0.0,0.0,1.5809999999999889,3.795066413662266,3.795066413662266,ok
1003_t0002_s006,1003,10.584,18,136.39318042217718,49.184500948436934,75.37724786213818,322.839034080452,247.46178621831382,-6.18261419551046,0.37156398104265403,50.62606082248543,11.362581919187615,40.853620871891955,0.026703814087809474,0.12331595576227485,6.122200452380709,2172.0833325246913,4118.8632930513595,0.18737461055513596,0.015928786247968674,0.014709411188960075,2.490000000000001,3.0,0.8300000000000004,8.094000000000001,1.700680272108843,2.223869532987398,ok
1003_t0003_s001,1003,0.74,4,144.06081187400306,12.149087803238315,128.52255927250397,167.96450996615118,39.441950693647215,-52.19290294349421,0.9154929577464789,69.01915421761386,4.335743954529895,16.43647651023356,0.012590104864029894,0.10269205208777407,6.580413045301379,1759.7578291963198,3215.8203125,0.15793863932291666,0.06125925853848457,0.016613006591796875,0.0,0.0,0.0,0.7399999999999949,5.405405405405443,5.405405405405443,ok
1003_t0003_s002,1003,3.422,16,114.08591113908156,14.869640252809512,84.12231452518826,147.72634363686004,63.60402911167178,-7.127761299629216,0.672566371681416,60.036086462010026,9.011755835961202,35.49434088469297,0.016553020227742667,0.11244709420225173,7.514993841226829,1969.812197260133,3715.391355140187,0.1644001898364486,0.031443025916814804,0.01668507792055607,0.3599999999999999,1.0,0.3599999999999999,3.061999999999997,4.6756282875511435,5.225342913128679,ok
1003_t0003_s003,1003,6.245,24,126.31893751266102,36.215234883323625,84.52246819995152,397.42686158421066,312.90439338425915,-0.2746246970044067,0.5523349436392915,58.788917702587,9.991804961749041,37.85814007429508,0.021038380234896473,0.10336936247227607,6.200178720088857,2271.060553974152,4090.3220663265306,0.21630610251913265,0.03164422884583473,0.022947248071432114,0.7399999999999998,2.0,0.3699999999999999,5.50499999999999,3.84307445956766,4.359673024523168,ok
1003_t0003_s004,1003,1.17,7,161.18350395228407,105.0271891034517,105.61989232041283,494.29356279977947,388.67367047936665,-110.90895020181118,0.6902654867256637,67.27646408796036,5.581844789333335,23.466529069726505,0.024936058971966244,0.11960484343253522,4.399456473030355,2510.996358779851,4103.673986486487,0.24871991131756757,0.05866338685154915,0.029228145256638527,0.0,0.0,0.0,1.1700000000000017,5.982905982905974,5.982905982905974,ok
1003_t0003_s005,1003,9.445,34,122.70145991340794,36.661560565716165,81.61706410943408,463.5026125953646,381.88554848593054,0.4270914243899212,0.5961742826780021,57.67418121460823,9.086409808286854,39.28840474423414,0.01975998354341323,0.10622710569278493,7.136676196448205,2143.931911133308,3913.0067567567567,0.18793879328547297,0.025309788063168526,0.017542537301778793,0.659999999999999,3.0,0.21999999999999967,8.784999999999995,3.599788247750135,3.8702333523050676,ok
1003_t0003_s006,1003,1.761,9,162.11650443277912,64.97618928760693,90.32856376797302,358.9128840581177,268.58432029014466,-19.903813620865442,0.6589595375722543,63.40147497516392,6.645036989029099,26.929545635746607,0.031024386402405676,0.09526063984209525,5.608368887786993,2278.372814093674,4111.188616071428,0.18581717354910715,0.04196133092045784,0.029031865298748016,0.0,0.0,0.0,1.761000000000024,5.110732538330424,5.110732538330424,ok
1003_t0003_s007,1003,3.002,16,143.61843695565605,20.075716377579855,98.89204055604456,190.74478575350446,91.8527451974599,-4.592174713367617,0.7811447811447811,64.69184410116901,6.121268000933467,27.339304679436133,0.017661926028937767,0.10437687718525956,6.89026959522474,2069.3712241735966,3693.4840425531916,0.18432097739361702,0.04509369283914566,0.01743883080780506,0.0,0.0,0.0,3.0020000000000095,5.329780146568937,5.329780146568937,ok
1003_t0003_s008,1003,9.105,34,133.04536973787913,32.36363893248477,88.41367389207416,435.8121598634601,347.398485971386,1.6993751272187283,0.5843439911797134,58.47182641412747,9.979728273818194,43.59577889067651,0.01923429929371442,0.09854390524640558,6.220626747945798,2351.5879480278195,4142.680921052632,0.22038788377192983,0.028288841247558594,0.017822474241256714,0.9100000000000006,3.0,0.3033333333333335,8.19499999999999,3.7342119714442656,4.148871262965228,ok
1003_t0003_s009,1003,8.804,32,142.87139671237392,31.304515129790385,93.13667859543891,472.8443068843765,379.7076282889376,-0.4161785632706252,0.5906499429874572,59.208733742728974,10.336668353423887,42.931996789869224,0.021501057199403328,0.11311439173776731,6.906065470544499,2277.8023723551914,4030.740489130435,0.20697286854619565,0.03293180465698242,0.021225454285740852,0.8399999999999999,1.0,0.8399999999999999,7.964000000000002,3.6347114947751016,4.018081366147664,ok
1003_t0003_s010,1003,6.402,22,131.95796047705738,15.64757483363595,84.93078105142264,158.07071442394204,73.1399333725194,2.071239064805282,0.4740973312401884,55.796796816565,10.465282514043636,39.39011846136104,0.017023387086313135,0.08472315877265404,6.827631941324264,2418.1770500785433,4293.182524875622,0.23889585276741293,0.02276775985956192,0.01559714786708355,0.8399999999999994,2.0,0.4199999999999997,5.561999999999987,3.436426116838495,3.955411722402023,ok
1003_t0003_s011,1003,3.302,13,140.09607001544583,35.17898103301912,84.01039835375953,260.07896657122797,176.06856821746845,-26.180534615517907,0.7033639143730887,62.03128150907178,6.710974239143473,28.133443773641332,0.016929214806922954,0.10404253746272675,7.143983420663235,2218.265499588798,4046.7998798076924,0.19030292217548078,0.0349029004573822,0.019159631803631783,0.0,0.0,0.0,3.302000000000021,3.9370078740157233,3.9370078740157233,ok
1003_t0003_s012,1003,3.382,20,142.3766435385307,31.37682708212545,107.24235691189435,338.6727175609726,231.43036064907827,-16.591125033211913,0.6746268656716418,61.56054727584041,6.427373429874479,27.883221122232044,0.020757667576701055,0.10924638688826313,5.963789033632621,2419.858341211118,4187.057783018868,0.22180866745283018,0.032672666013240814,0.013716037385165691,0.0,0.0,0.0,3.382000000000005,5.913660555884084,5.913660555884084,ok
1003_t0003_s013,1003,2.221,8,146.31985824788677,50.85650297827178,108.09795575292698,420.9145285813248,312.81657282839785,0.374510193612947,0.410958904109589,59.622492730992015,8.380387399154982,30.27563285270427,0.017773518097083073,0.10840598055582151,4.943556888488304,2778.438928411067,4476.450892857143,0.27836216517857143,0.029257288202643394,0.01604379154741764,0.0,0.0,0.0,2.2210000000000036,3.6019810895992737,3.6019810895992737,ok
1003_t0003_s014,1003,7.151,27,132.79085656057995,22.898248892383144,87.42929718324952,194.33758459810363,106.90828741485412,-1.7886560850526128,0.601123595505618,57.22649720431652,10.261084255951975,43.27380925131383,0.0239849189037322,0.13821075983179376,5.971059246227905,2338.1369963019647,4152.273995535715,0.22379847935267858,0.026182925328612328,0.01748034730553627,0.7599999999999998,2.0,0.3799999999999999,6.391000000000011,3.775695706894135,4.224690971678917,ok
1003_t0003_s015,1003,2.141,12,159.98666518923437,49.56814311000514,84.79350537412392,448.20795526426133,363.4144498901374,-18.296447498619308,0.6919431279620853,63.44205761852565,6.173129011573789,29.501852695575117,0.023609541268248345,0.10020521476393529,6.713573712791924,2268.685716262572,4163.013059701492,0.1980672807835821,0.04030800983309746,0.018539564684033394,0.0,0.0,0.0,2.1410000000000196,5.604857543204059,5.604857543204059,ok
1003_t0003_s016,1003,25.988,85,143.85956720830958,36.17673048996398,86.24051579355212,493.87027085586647,407.62975506231436,-1.096555068697123,0.5425818882466281,55.40625872029959,10.868598150290028,46.864371659891574,0.019817455318235682,0.10539810587539035,7.2567368615220715,2367.982604612988,4170.846786592866,0.22078961023985239,0.023096907883882523,0.01799379661679268,3.949999999999997,8.0,0.49374999999999963,22.038000000000004,3.2707403416961673,3.8569743170886643,ok
1003_t0004_s001,1003,0.241,1,,,,,,,,,,,,,,,,,,,,,,,,,too_short
1003_t0004_s002,1003,2.021,5,100.99498704712379,13.778830026963478,75.36641128561503,149.07586005894652,73.70944877333149,-19.1289180987728,0.5829145728643216,51.409739616640785,7.5339743646489366,26.39139015838822,0.0248656287178846,0.12876468832536267,5.836358671818107,1927.1441105517665,3613.4033203125,0.160888671875,0.010978588834404945,0.005011287983506918,0.0,0.0,0.0,2.021000000000015,2.474022761009383,2.474022761009383,ok
1003_t0005_s001,1003,5.284,20,100.85351276758101,25.651608108217367,75.0192959476572,224.1804555662758,149.16115961861863,-8.20601517489533,0.5295238095238095,53.63676203453798,9.503039658486497,37.40207548621596,0.02136486414203526,0.11267310378547978,6.315767085934634,2530.5702966309045,4469.879518072289,0.23232480704066266,0.01601296104490757,0.009946977719664574,0.6399999999999997,1.0,0.6399999999999997,4.643999999999992,3.785011355034071,4.306632213608965,ok
1003_t0005_s002,1003,5.323,15,92.14159320191446,12.652264598967466,75.07078555245016,123.83115119615685,48.76036564370669,-2.6926835094731802,0.4045368620037807,51.4910698633977,9.418428324123044,35.404562624689376,0.022950038349570764,0.11593189489110828,5.209221996461872,2457.0798126583754,4392.683383233533,0.2308985544535928,0.013902653008699417,0.010250600054860115,0.15000000000000036,1.0,0.15000000000000036,5.172999999999979,2.8179597971069055,2.8996713705780133,ok
1003_t0005_s003,1003,20.477,54,100.59542676815445,22.030565867197357,74.9634567563415,234.7748883997447,159.81143164340318,-0.17950005984234066,0.4417808219178082,51.40070059629549,10.213474771182435,39.85650043670021,0.025627429925210714,0.11126274483600772,6.647960514953814,2574.7807035706874,4638.56201171875,0.23578567504882814,0.013596040196716785,0.00981597974896431,3.199999999999998,9.0,0.35555555555555535,17.277000000000005,2.6371050446842794,3.1255426289286325,ok
1003_t0005_s004,1003,9.703,23,94.80147563140046,27.7664275776587,75.01001468954486,316.8299399703875,241.81992528084265,-0.12158395234360599,0.49120992761116855,53.98195741508424,9.035896732748196,35.4339317978263,0.02164967373844408,0.10573199622100754,7.031476885964392,2357.25442697657,4439.9157072368425,0.20850091231496712,0.01689361035823822,0.012600675225257874,0.8399999999999999,4.0,0.20999999999999996,8.863000000000003,2.3704009069359984,2.595058106735867,ok
1003_t0005_s005,1003,6.201,16,100.28582715619999,14.020686354503576,76.24888016135921,144.06298955902886,67.81410939766965,2.86748660354813,0.34359805510534847,49.16582244890183,11.523651731098822,37.205186837779486,0.026073520269710753,0.12228842554909121,6.310035460285089,2705.494538521639,4919.740657216495,0.25682083601804123,0.013128010556101799,0.012894676998257637,1.6900000000000004,4.0,0.4225000000000001,4.510999999999965,2.5802289953233495,3.5468853912658225,ok
1003_t0006_s001,1003,1.701,6,106.71373589592096,8.742350845331725,89.44214838384775,121.80270237858576,32.36055399473801,-14.422621446892972,0.6047904191616766,61.74527218024941,4.339842443747751,17.939671013060185,0.014695569620509108,0.12082258036351692,3.0106822079593187,2396.505115914409,4283.709490740741,0.2040111400462963,0.027894504368305206,0.008467113599181175,0.0,0.0,0.0,1.7010000000000218,3.527336860670149,3.527336860670149,ok
1003_t0006_s002,1003,6.605,15,106.16917952116697,18.03910977214777,75.85737630534233,177.25569399929762,101.39831769395529,-3.66315313980066,0.3744292237442922,53.11985342969375,10.70507072336583,35.20225044506178,0.02008254774957003,0.11709775119485742,6.20487051706587,2404.978273061567,4462.032004830918,0.21119225543478262,0.01852523535490036,0.015084263868629932,1.3499999999999994,3.0,0.4499999999999998,5.254999999999962,2.271006813020452,2.8544243577545405,ok
1003_t0006_s003,1003,18.014,37,117.44513509329742,42.49903594930221,75.09625195373556,466.25259970293735,391.1563477492018,-1.8321523276812222,0.4599555061179088,58.332235947234,10.410248071131761,36.92856579170898,0.021994989290078436,0.10655491951329542,6.25315941166932,2198.4272542230424,4102.839142984014,0.19142446297735347,0.03166056051850319,0.02351168729364872,2.5299999999999994,6.0,0.4216666666666666,15.48400000000001,2.053958032641278,2.389563420304829,ok
1003_t0007_s001,1003,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,too_short
1003_t0008_s001,1003,7.528,13,112.85369955795832,27.041895698826472,75.567784471877,333.4192660370385,257.85148156516146,-6.49651991722059,0.4979973297730307,62.33838510356705,8.287111592756311,36.165771010328264,0.024710978999054046,0.1166152199274054,4.925996430424885,2041.6922183806391,3924.5895127118642,0.1698391154661017,0.04071018099784851,0.03029082715511322,0.0,0.0,0.0,7.527999999999963,1.7268862911796046,1.7268862911796046,ok
