sentence_id,debate_audio_id,n_syllables,syllable_rate_per_sec,articulation_rate_syll_per_sec,egemaps_F0semitoneFrom27.5Hz_sma3nz_amean,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevNorm,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,egemaps_F0semitoneFrom27.5Hz_sma3nz_percentile80.0,egemaps_F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,egemaps_F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,egemaps_F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,egemaps_loudness_sma3_amean,egemaps_loudness_sma3_stddevNorm,egemaps_loudness_sma3_percentile20.0,egemaps_loudness_sma3_percentile50.0,egemaps_loudness_sma3_percentile80.0,egemaps_loudness_sma3_pctlrange0-2,egemaps_loudness_sma3_meanRisingSlope,egemaps_loudness_sma3_stddevRisingSlope,egemaps_loudness_sma3_meanFallingSlope,egemaps_loudness_sma3_stddevFallingSlope,egemaps_spectralFlux_sma3_amean,egemaps_spectralFlux_sma3_stddevNorm,egemaps_mfcc1_sma3_amean,egemaps_mfcc1_sma3_stddevNorm,egemaps_mfcc2_sma3_amean,egemaps_mfcc2_sma3_stddevNorm,egemaps_mfcc3_sma3_amean,egemaps_mfcc3_sma3_stddevNorm,egemaps_mfcc4_sma3_amean,egemaps_mfcc4_sma3_stddevNorm,egemaps_jitterLocal_sma3nz_amean,egemaps_jitterLocal_sma3nz_stddevNorm,egemaps_shimmerLocaldB_sma3nz_amean,egemaps_shimmerLocaldB_sma3nz_stddevNorm,egemaps_HNRdBACF_sma3nz_amean,egemaps_HNRdBACF_sma3nz_stddevNorm,egemaps_logRelF0-H1-H2_sma3nz_amean,egemaps_logRelF0-H1-H2_sma3nz_stddevNorm,egemaps_logRelF0-H1-A3_sma3nz_amean,egemaps_logRelF0-H1-A3_sma3nz_stddevNorm,egemaps_F1frequency_sma3nz_amean,egemaps_F1frequency_sma3nz_stddevNorm,egemaps_F1bandwidth_sma3nz_amean,egemaps_F1bandwidth_sma3nz_stddevNorm,egemaps_F1amplitudeLogRelF0_sma3nz_amean,egemaps_F1amplitudeLogRelF0_sma3nz_stddevNorm,egemaps_F2frequency_sma3nz_amean,egemaps_F2frequency_sma3nz_stddevNorm,egemaps_F2bandwidth_sma3nz_amean,egemaps_F2bandwidth_sma3nz_stddevNorm,egemaps_F2amplitudeLogRelF0_sma3nz_amean,egemaps_F2amplitudeLogRelF0_sma3nz_stddevNorm,egemaps_F3frequency_sma3nz_amean,egemaps_F3frequency_sma3nz_stddevNorm,egemaps_F3bandwidth_sma3nz_amean,egemaps_F3bandwidth_sma3nz_stddevNorm,egemaps_F3amplitudeLogRelF0_sma3nz_amean,egemaps_F3amplitudeLogRelF0_sma3nz_stddevNorm,egemaps_alphaRatioV_sma3nz_amean,egemaps_alphaRatioV_sma3nz_stddevNorm,egemaps_hammarbergIndexV_sma3nz_amean,egemaps_hammarbergIndexV_sma3nz_stddevNorm,egemaps_slopeV0-500_sma3nz_amean,egemaps_slopeV0-500_sma3nz_stddevNorm,egemaps_slopeV500-1500_sma3nz_amean,egemaps_slopeV500-1500_sma3nz_stddevNorm,egemaps_spectralFluxV_sma3nz_amean,egemaps_spectralFluxV_sma3nz_stddevNorm,egemaps_mfcc1V_sma3nz_amean,egemaps_mfcc1V_sma3nz_stddevNorm,egemaps_mfcc2V_sma3nz_amean,egemaps_mfcc2V_sma3nz_stddevNorm,egemaps_mfcc3V_sma3nz_amean,egemaps_mfcc3V_sma3nz_stddevNorm,egemaps_mfcc4V_sma3nz_amean,egemaps_mfcc4V_sma3nz_stddevNorm,egemaps_alphaRatioUV_sma3nz_amean,egemaps_hammarbergIndexUV_sma3nz_amean,egemaps_slopeUV0-500_sma3nz_amean,egemaps_slopeUV500-1500_sma3nz_amean,egemaps_spectralFluxUV_sma3nz_amean,egemaps_loudnessPeaksPerSec,egemaps_VoicedSegmentsPerSec,egemaps_MeanVoicedSegmentLengthSec,egemaps_StddevVoicedSegmentLengthSec,egemaps_MeanUnvoicedSegmentLength,egemaps_StddevUnvoicedSegmentLength,egemaps_equivalentSoundLevel_dBp,feature_status
1003_t0001_s001,1003,33,5.058246474555488,5.05824647455549,25.862821578979492,0.14841009676456451,23.05252456665039,25.048677444458008,27.639650344848633,4.587125778198242,112.4695053100586,117.50153350830078,119.39501190185547,138.55508422851562,0.5955948233604431,0.5451698303222656,0.2784593999385834,0.5612843632698059,0.8771021962165833,0.5986428260803223,8.72965145111084,2.841881275177002,6.803858280181885,4.140700817108154,0.17521396279335022,0.6992836594581604,10.87412166595459,1.2029963731765747,-6.295724391937256,-1.676040530204773,13.918078422546387,0.8974237442016602,-7.683401584625244,-1.9867980480194092,0.028739547356963158,1.6956472396850586,1.569942593574524,0.7993595004081726,2.247962474822998,0.9799644351005554,-2.01879620552063,-3.0592734813690186,12.197428703308105,0.519631564617157,941.309814453125,0.22033348679542542,1041.233642578125,0.30659595131874084,-121.9704818725586,-0.7416577339172363,1929.795654296875,0.12043038010597229,932.35107421875,0.2565120458602905,-120.0534439086914,-0.7590089440345764,2917.68505859375,0.08740097284317017,859.0138549804688,0.5431146025657654,-121.62772369384766,-0.7348213195800781,-3.524663209915161,-1.6716340780258179,11.735607147216797,0.5519395470619202,0.06079883500933647,0.24801653623580933,0.0020062958355993032,7.814393043518066,0.20735961198806763,0.5689042806625366,16.080223083496094,0.48576948046684265,-8.915118217468262,-1.2979137897491455,11.810417175292969,1.0603688955307007,-9.16122055053711,-1.720609188079834,0.5516253709793091,6.10725736618042,0.052946314215660095,0.007616064045578241,0.1571066975593567,5.069124698638916,4.024767875671387,0.08999999612569809,0.07136040180921555,0.13807691633701324,0.16009657084941864,-30.167564392089844,ok
1003_t0001_s002,1003,12,3.7476577139287945,4.163775156141566,26.01849937438965,0.1527833193540573,23.48276138305664,25.4980525970459,26.868379592895508,3.385618209838867,58.229820251464844,41.62089920043945,57.182491302490234,38.263755798339844,0.6709619164466858,0.5701833367347717,0.2438282072544098,0.6466771960258484,1.0288710594177246,0.7850428819656372,8.464944839477539,3.880077362060547,6.770803928375244,4.595750331878662,0.17943353950977325,0.6243655681610107,13.96187686920166,0.8873100876808167,-10.198446273803711,-1.0310461521148682,12.949187278747559,1.100967288017273,-10.64320182800293,-1.4941701889038086,0.037824057042598724,2.1376523971557617,1.041707158088684,0.8218603134155273,2.8312973976135254,0.7978177666664124,-2.1870431900024414,-2.3075149059295654,10.581552505493164,0.581384539604187,916.9797973632812,0.2621254324913025,1047.1790771484375,0.21467901766300201,-122.32872009277344,-0.7855320572853088,1905.7078857421875,0.13334327936172485,992.5335083007812,0.2644679546356201,-119.59941101074219,-0.8031531572341919,2856.66015625,0.09104753285646439,901.899658203125,0.509428858757019,-121.56526184082031,-0.7706663012504578,-2.9291324615478516,-1.4193192720413208,11.025157928466797,0.4640173017978668,0.05742470920085907,0.2080075591802597,-0.008385248482227325,-1.7068073749542236,0.21656166017055511,0.40129610896110535,19.980621337890625,0.3534509837627411,-14.328611373901367,-0.8045969009399414,10.77767276763916,1.50928795337677,-17.802061080932617,-0.9390948414802551,0.5857657194137573,6.986578941345215,0.04921264201402664,0.003937007859349251,0.15970242023468018,4.388714790344238,2.229299545288086,0.16857142746448517,0.08724818378686905,0.25857141613960266,0.27482089400291443,-28.91722297668457,ok
1003_t0001_s003,1003,34,2.8600269179004036,3.69244135534318,28.82439613342285,0.20120441913604736,25.555185317993164,27.8209228515625,29.694782257080078,4.139596939086914,159.29771423339844,158.9210205078125,96.96678924560547,92.85317993164062,0.5106802582740784,0.7471794486045837,0.14271102845668793,0.4188544750213623,0.8629499673843384,0.7202389240264893,7.955643653869629,3.9058163166046143,5.785639762878418,4.026843070983887,0.14857934415340424,0.8894763588905334,14.657532691955566,0.6893051266670227,-6.433809757232666,-1.466528296470642,13.391477584838867,1.1327697038650513,-7.118597507476807,-2.1159396171569824,0.026005638763308525,1.7122881412506104,1.527321696281433,0.7770019173622131,3.40893292427063,0.8697959780693054,1.366924524307251,5.937928676605225,15.638253211975098,0.6476206183433533,858.3286743164062,0.3468515872955322,1101.0599365234375,0.29893118143081665,-131.84243774414062,-0.69645756483078,1854.42041015625,0.1685694456100464,957.48388671875,0.23883597552776337,-127.84270477294922,-0.7240917086601257,2845.522705078125,0.11262325197458267,851.5211181640625,0.43024736642837524,-129.7202911376953,-0.6946514248847961,-5.450613975524902,-1.1847970485687256,14.915728569030762,0.5222914814949036,0.0647299587726593,0.2697857618331909,-0.008231502957642078,-1.7570158243179321,0.24189716577529907,0.49839186668395996,20.140039443969727,0.4513077437877655,-10.548066139221191,-1.0329375267028809,13.351460456848145,1.2894243001937866,-11.690579414367676,-1.5191195011138916,-2.6246092319488525,10.686060905456543,0.051002275198698044,0.006053449120372534,0.09631837904453278,3.2855939865112305,2.284264087677002,0.14925925433635712,0.12643036246299744,0.26777777075767517,0.34519270062446594,-29.64289093017578,ok
1003_t0001_s004,1003,37,3.210412147505423,4.113396331295165,33.63084411621094,0.2409442961215973,28.580944061279297,30.353055953979492,42.320735931396484,13.739791870117188,910.4743041992188,1137.3387451171875,147.13864135742188,126.9285888671875,1.253620982170105,0.541401207447052,0.19507837295532227,1.5202802419662476,1.806530475616455,1.6114521026611328,8.865501403808594,5.009533882141113,8.10012435913086,4.527197360992432,0.49481406807899475,0.6289201378822327,2.9651360511779785,3.0484142303466797,-20.621829986572266,-0.6571859121322632,-2.9147303104400635,-3.8117127418518066,-7.980466842651367,-1.1577036380767822,0.03579301759600639,1.773972988128662,1.6844156980514526,0.6796231865882874,0.9633859992027283,3.5404860973358154,0.4307616353034973,13.779191970825195,8.795782089233398,0.7791542410850525,937.5492553710938,0.22212335467338562,1084.0628662109375,0.26131510734558105,-172.45130920410156,-0.39111119508743286,1899.250732421875,0.11849918961524963,1044.6229248046875,0.2473362684249878,-169.8338165283203,-0.40788954496383667,2834.669189453125,0.08823927491903305,892.9473876953125,0.4359265863895416,-170.40274047851562,-0.3979557752609253,-0.1976465880870819,-19.314973831176758,9.709716796875,0.47621291875839233,0.07611192762851715,0.23075032234191895,-0.006428337190300226,-2.246913194656372,0.5977566838264465,0.36079031229019165,10.800078392028809,0.7337229251861572,-21.206995010375977,-0.4126477539539337,-1.4469709396362305,-9.928077697753906,-14.734073638916016,-0.8257961869239807,4.212772846221924,4.8220977783203125,0.05970192700624466,0.009124528616666794,0.4750918447971344,4.952215671539307,1.7452006340026855,0.07750000059604645,0.05629165098071098,0.4989473521709442,0.6886820793151855,-23.244396209716797,ok
1003_t0002_s001,1003,41,4.605189262046501,4.705612303454605,32.02184295654297,0.26434606313705444,25.981342315673828,28.927993774414062,41.585113525390625,15.603771209716797,244.2361602783203,458.8798828125,192.94566345214844,194.33604431152344,0.8793483972549438,0.5610675811767578,0.41966354846954346,0.8395352363586426,1.2570117712020874,0.837348222732544,8.435203552246094,3.3785834312438965,6.614036560058594,3.8468308448791504,0.2808447778224945,0.7705258727073669,8.3999605178833,1.4177629947662354,-15.078289985656738,-0.7460418939590454,6.971035003662109,1.9950077533721924,-6.454188346862793,-2.1186275482177734,0.04282756522297859,1.5942318439483643,1.6291847229003906,0.7381422519683838,1.7754809856414795,1.8011069297790527,-0.8225171566009521,-7.2578959465026855,7.8043341636657715,1.4920345544815063,970.4596557617188,0.1848147064447403,1004.2308349609375,0.31279635429382324,-113.81437683105469,-0.827625036239624,1935.62841796875,0.10851817578077316,1034.9061279296875,0.2893904149532318,-109.70864868164062,-0.862831175327301,2912.988037109375,0.07949816435575485,883.8511352539062,0.43957412242889404,-111.48307800292969,-0.8330081701278687,-1.302748203277588,-4.733272075653076,10.233075141906738,0.6938495635986328,0.0734248235821724,0.21461044251918793,-0.00038038435741327703,-44.83722686767578,0.3108728528022766,0.7741573452949524,13.780121803283691,0.6936288475990295,-15.147662162780762,-0.7099109888076782,5.682681083679199,2.231060266494751,-9.858417510986328,-1.7045542001724243,3.8902876377105713,4.1771039962768555,0.06061423197388649,0.011204368434846401,0.2596087157726288,4.836895942687988,3.5067873001098633,0.11838709563016891,0.11127115041017532,0.15133333206176758,0.15989023447036743,-26.437137603759766,ok
1003_t0002_s002,1003,41,3.3985411140583555,3.8701151595242558,30.074867248535156,0.19526031613349915,25.1529598236084,28.05377197265625,33.184654235839844,8.031694412231445,228.6533203125,266.4494323730469,147.34307861328125,111.97116088867188,0.6404740810394287,0.6187610626220703,0.23667587339878082,0.5764440894126892,1.0620075464248657,0.8253316879272461,8.114237785339355,3.5424916744232178,6.916464805603027,4.137029647827148,0.1795206218957901,0.7662815451622009,13.247007369995117,0.962398111820221,-12.61056137084961,-0.9487301111221313,6.252598762512207,2.1723484992980957,-9.553178787231445,-1.5711770057678223,0.0442621186375618,2.208436965942383,1.57014799118042,0.9043896794319153,3.2361247539520264,1.186256766319275,2.262768030166626,3.6617660522460938,12.722915649414062,0.8405781388282776,967.4403686523438,0.22504936158657074,1045.9376220703125,0.2346571981906891,-116.3748779296875,-0.8331159949302673,1941.9805908203125,0.11537805944681168,1004.5177612304688,0.46344277262687683,-113.40941619873047,-0.8553316593170166,2945.29296875,0.09046074002981186,823.9788208007812,0.4416206181049347,-116.32154083251953,-0.8053939938545227,-3.253183126449585,-1.825635552406311,12.941329956054688,0.4942576587200165,0.06856400519609451,0.24669207632541656,-0.004635259509086609,-3.2768001556396484,0.23747235536575317,0.5061206817626953,19.938323974609375,0.41052722930908203,-16.738994598388672,-0.7580750584602356,4.141398906707764,3.814823865890503,-11.849020004272461,-1.4858462810516357,0.9357867240905762,6.833072185516357,0.0546477735042572,0.004355716519057751,0.137568399310112,3.568464756011963,2.4166667461395264,0.16758620738983154,0.1658552587032318,0.22620688378810883,0.2219570279121399,-28.4569091796875,ok
1003_t0002_s003,1003,18,4.674110620618022,4.957312035251998,29.46820831298828,0.16623754799365997,26.389827728271484,28.54424476623535,30.397010803222656,4.007183074951172,79.93295288085938,102.68190002441406,200.2601318359375,275.4709777832031,0.5948894023895264,0.5282585024833679,0.28670620918273926,0.5223705768585205,0.9091655015945435,0.6224592924118042,7.9599833488464355,3.1666603088378906,7.110531806945801,3.370917558670044,0.17680105566978455,0.6923840641975403,9.377239227294922,1.4581724405288696,-9.999617576599121,-1.031238079071045,9.69413948059082,1.1966311931610107,-6.005213260650635,-1.9509621858596802,0.020963771268725395,1.0116711854934692,1.6066802740097046,0.8772382736206055,2.7437500953674316,1.0828927755355835,0.3840317130088806,16.571779251098633,14.459588050842285,0.5522483587265015,997.6176147460938,0.17709192633628845,994.8883056640625,0.2297978550195694,-124.62073516845703,-0.7455028891563416,1916.07421875,0.10338262468576431,1067.4249267578125,0.3549729883670807,-121.78739929199219,-0.7768334746360779,2921.611083984375,0.08009734749794006,912.625,0.5139443278312683,-124.96294403076172,-0.7258679270744324,-1.7432790994644165,-2.7044596672058105,12.055054664611816,0.6000787019729614,0.07228031009435654,0.24934758245944977,-0.0010229902109131217,-11.955385208129883,0.23804143071174622,0.45739981532096863,18.315183639526367,0.40896764397621155,-15.790943145751953,-0.5994290113449097,7.057081699371338,2.0608105659484863,-6.723599910736084,-1.8471298217773438,3.076408863067627,4.192899703979492,0.061608318239450455,0.007563698571175337,0.13884347677230835,5.46875,3.1830239295959473,0.11083332449197769,0.08976434171199799,0.21799999475479126,0.1947202980518341,-30.230783462524414,ok
1003_t0002_s004,1003,3,5.769230769230769,5.769230769230814,24.38161277770996,0.022650301456451416,23.824527740478516,24.383020401000977,24.93869400024414,1.114166259765625,0.0,0.0,-0.21907098591327667,0.0,0.4797419011592865,0.48496147990226746,0.2786751687526703,0.4083693027496338,0.6602632403373718,0.38158807158470154,6.221630096435547,2.177180051803589,3.132124900817871,2.6185379028320312,0.13211177289485931,0.637071967124939,13.076558113098145,0.954985499382019,-11.842669486999512,-0.7539638876914978,1.0473326444625854,7.796850681304932,-9.135422706604004,-1.4227869510650635,0.020573437213897705,0.06539198756217957,2.679485559463501,0.584194004535675,-0.015078161843121052,-56.55266571044922,-1.2716819047927856,-1.1147209405899048,10.078775405883789,0.45317256450653076,825.4569702148438,0.23336723446846008,1355.1275634765625,0.0877893790602684,-173.77297973632812,-0.3692299723625183,1786.4072265625,0.11896417289972305,1062.2230224609375,0.181422621011734,-170.0456085205078,-0.39769071340560913,2838.1865234375,0.08323381096124649,790.2015991210938,0.23282456398010254,-171.15179443359375,-0.3813095688819885,-2.853823184967041,-0.6915814876556396,11.411993980407715,0.26404982805252075,0.059793829917907715,0.2437305450439453,-0.0057900105603039265,-1.044627070426941,0.1785520613193512,0.4330132305622101,22.679298400878906,0.25778254866600037,-12.011951446533203,-0.7919171452522278,-3.5434064865112305,-0.7901387214660645,-7.941141605377197,-1.510752558708191,0.190293088555336,9.187265396118164,0.052434924989938736,0.0077286576852202415,0.11945154517889023,5.882352828979492,2.1739132404327393,0.05999999865889549,0.0,0.1850000023841858,0.0949999988079071,-33.26338195800781,ok
1003_t0002_s005,1003,9,5.692599620493358,5.692599620493398,24.952184677124023,0.09588387608528137,22.860368728637695,24.00099754333496,27.23128890991211,4.370920181274414,8.398300170898438,12.655646324157715,14.49616813659668,0.0,0.5207727551460266,0.3946212828159332,0.32612836360931396,0.4933215081691742,0.6847803592681885,0.3586519956588745,6.015810966491699,3.3713648319244385,5.492209434509277,1.9728060960769653,0.12720708549022675,0.49900031089782715,12.01717472076416,1.1895867586135864,-6.562982559204102,-1.5345739126205444,11.012341499328613,1.1087360382080078,-11.487558364868164,-1.2305381298065186,0.015584697015583515,0.7652211785316467,1.262558937072754,0.5774208903312683,3.575556993484497,0.569575309753418,0.05109807103872299,111.78788757324219,14.228485107421875,0.6400495767593384,870.6507568359375,0.2935144305229187,1145.2293701171875,0.4193626940250397,-105.9140853881836,-0.9133443236351013,1792.671630859375,0.13885776698589325,992.4791870117188,0.18160080909729004,-103.25758361816406,-0.9454955458641052,2778.3759765625,0.09989991784095764,903.4956665039062,0.5063698291778564,-105.94593811035156,-0.8958901166915894,-5.3439154624938965,-0.8197953104972839,13.735005378723145,0.492861270904541,0.06192038208246231,0.22843995690345764,0.003213718766346574,4.682369709014893,0.13749408721923828,0.3345482051372528,20.277769088745117,0.291508287191391,-10.285018920898438,-0.9827052354812622,13.470417022705078,0.7555274963378906,-5.8291754722595215,-1.8888355493545532,1.9559158086776733,4.643496513366699,0.053302839398384094,0.003424221184104681,0.12412000447511673,5.732484340667725,2.6315789222717285,0.17249999940395355,0.10894379019737244,0.1875,0.025860199704766273,-32.777793884277344,ok
1003_t0002_s006,1003,34,3.2123960695389266,4.200642451198418,28.324262619018555,0.20462438464164734,24.368162155151367,27.18402099609375,30.212373733520508,5.844211578369141,243.8853302001953,428.125732421875,108.37272644042969,95.64558410644531,0.3743569552898407,0.7732489705085754,0.12474954128265381,0.26352155208587646,0.6186177134513855,0.4938681721687317,6.5517401695251465,3.0288329124450684,5.751731872558594,4.054689884185791,0.09762799739837646,1.0188847780227661,12.44927978515625,0.7961710691452026,-5.3649444580078125,-1.8334476947784424,8.84842300415039,1.1790944337844849,-3.2905633449554443,-4.0217390060424805,0.027136873453855515,1.7923650741577148,1.7078925371170044,0.794614851474762,2.705186128616333,0.8993152976036072,1.1066516637802124,6.8841447830200195,16.410974502563477,0.5019022822380066,953.7617797851562,0.24197132885456085,1021.579345703125,0.3160943388938904,-150.51840209960938,-0.560023307800293,1914.68310546875,0.12306250631809235,982.6649780273438,0.19077587127685547,-147.7148895263672,-0.5796886086463928,2931.60595703125,0.084739550948143,785.8258056640625,0.4714568257331848,-150.16464233398438,-0.5435754060745239,-4.836983680725098,-1.2988359928131104,13.712836265563965,0.5415341854095459,0.0703391581773758,0.20973871648311615,-0.002414311980828643,-7.103194713592529,0.20204122364521027,0.4867951571941376,20.95494270324707,0.37889406085014343,-11.13838005065918,-1.1646459102630615,7.690113067626953,1.8495509624481201,-9.364717483520508,-1.90155029296875,-1.778918981552124,9.443920135498047,0.05010492727160454,0.011931054294109344,0.06125236675143242,3.0274362564086914,1.901140809059143,0.12800000607967377,0.07756287604570389,0.3779999911785126,0.50167316198349,-33.2518310546875,ok
