feature,lda_coefficient,abs_coef
loudness_sma3_amean,-2.0296187826914642,2.0296187826914642
mfcc3V_sma3nz_amean,1.6694823070479823,1.6694823070479823
spectralFluxV_sma3nz_amean,1.3280422542458863,1.3280422542458863
loudness_sma3_percentile50.0,1.314622944388888,1.314622944388888
F1frequency_sma3nz_amean,1.2546426230164631,1.2546426230164631
mfcc2V_sma3nz_amean,1.1508428212853323,1.1508428212853323
F2amplitudeLogRelF0_sma3nz_amean,1.1183057643048053,1.1183057643048053
F3amplitudeLogRelF0_sma3nz_amean,-1.1125619608300759,1.1125619608300759
mfcc4V_sma3nz_amean,-1.0492471365949465,1.0492471365949465
mfcc1_sma3_amean,-1.019644806907237,1.019644806907237
F2frequency_sma3nz_amean,-0.9192277477093063,0.9192277477093063
mfcc3_sma3_amean,-0.8696515696646043,0.8696515696646043
alphaRatioV_sma3nz_amean,0.8242005233796886,0.8242005233796886
mfcc4_sma3_amean,0.8229613728230006,0.8229613728230006
F0semitoneFrom27.5Hz_sma3nz_amean,-0.8049917741571964,0.8049917741571964
hammarbergIndexUV_sma3nz_amean,0.7347669945583527,0.7347669945583527
spectralFlux_sma3_amean,-0.7000342639318695,0.7000342639318695
F3frequency_sma3nz_amean,-0.6431250337035529,0.6431250337035529
F3frequency_sma3nz_stddevNorm,0.6369459711842191,0.6369459711842191
F1amplitudeLogRelF0_sma3nz_amean,0.6236231864441442,0.6236231864441442
loudness_sma3_percentile20.0,0.574516345920429,0.574516345920429
F2bandwidth_sma3nz_amean,0.5222375501383206,0.5222375501383206
alphaRatioUV_sma3nz_amean,0.4699744611893264,0.4699744611893264
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.4599298587687424,0.4599298587687424
spectralFlux_sma3_stddevNorm,0.4146129448242784,0.4146129448242784
mfcc1V_sma3nz_amean,0.4052845416922205,0.4052845416922205
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.3674459229621364,0.3674459229621364
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.348758826448271,0.348758826448271
F2bandwidth_sma3nz_stddevNorm,-0.3425115612330888,0.3425115612330888
F3bandwidth_sma3nz_amean,0.3365631131443615,0.3365631131443615
F2frequency_sma3nz_stddevNorm,-0.3116390874994462,0.3116390874994462
hammarbergIndexV_sma3nz_amean,0.29857198125484663,0.29857198125484663
F1frequency_sma3nz_stddevNorm,-0.2813380103011269,0.2813380103011269
equivalentSoundLevel_dBp,0.26557122456885107,0.26557122456885107
spectralFluxV_sma3nz_stddevNorm,0.2496808299517284,0.2496808299517284
slopeV0-500_sma3nz_amean,-0.24483621023874386,0.24483621023874386
slopeUV0-500_sma3nz_amean,0.24292288202952694,0.24292288202952694
mfcc2_sma3_amean,0.241551250631006,0.241551250631006
jitterLocal_sma3nz_stddevNorm,0.2395820374316398,0.2395820374316398
loudness_sma3_stddevNorm,-0.21081972905083474,0.21081972905083474
StddevUnvoicedSegmentLength,0.1891416943415902,0.1891416943415902
loudness_sma3_percentile80.0,0.18724213046932853,0.18724213046932853
slopeUV500-1500_sma3nz_amean,-0.18706429822865986,0.18706429822865986
loudness_sma3_pctlrange0-2,-0.18410646733107727,0.18410646733107727
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,-0.17763981601208134,0.17763981601208134
spectralFluxUV_sma3nz_amean,-0.16311718521915874,0.16311718521915874
HNRdBACF_sma3nz_amean,0.15985328768589496,0.15985328768589496
F3bandwidth_sma3nz_stddevNorm,-0.1403779037176942,0.1403779037176942
slopeV500-1500_sma3nz_amean,0.1398476067920281,0.1398476067920281
shimmerLocaldB_sma3nz_stddevNorm,-0.11835931855001629,0.11835931855001629
jitterLocal_sma3nz_amean,-0.11157605924039612,0.11157605924039612
MeanUnvoicedSegmentLength,-0.10545027460902365,0.10545027460902365
loudness_sma3_meanFallingSlope,-0.09835011488076416,0.09835011488076416
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,-0.08977557408274499,0.08977557408274499
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.08819180002043177,0.08819180002043177
loudness_sma3_meanRisingSlope,-0.07982869891697084,0.07982869891697084
F1bandwidth_sma3nz_amean,0.0755730817296001,0.0755730817296001
