debate_audio_id,turn_id,speaker,party,result,speaker_role,year,debate_type,date,n_sentences,n_words,n_syllables,turn_start_sec,turn_end_sec,speech_duration_sec,total_pause_sec,n_pauses_within_sentences,f0_mean,f0_std,intensity_mean_db,intensity_std_db,jitter_local_mean,shimmer_local_mean,hnr_mean_db,speech_rate_wps_mean,articulation_rate_wps_mean,syllable_rate_per_sec_mean,articulation_rate_syll_per_sec_mean,turn_floor_time_sec,turn_speech_density,pauses_per_100_words,mean_pause_sec_per_turn,turn_speech_rate_wps,turn_syllable_rate_per_sec,turn_articulation_rate_wps,turn_articulation_rate_syll_per_sec
1003,1003_t0021,Shaw,—,moderator,moderator,1988,Presidential,1988-10-13,1,4,8.0,682.832,684.172,1.34,0.0,0.0,109.651,,63.48,,0.019,0.114,3.59,2.985,2.985,5.97,5.97,1.34,1.0,0.0,0.0,2.985,5.97,2.985,5.97
1003,1003_t0022,Compton,—,moderator,moderator,1988,Presidential,1988-10-13,2,46,72.0,684.312,698.475,13.043,0.54,1.0,194.004,10.937,63.306,1.855,0.017,0.088,9.443,3.445,3.553,5.336,5.53,14.163,0.921,2.174,0.54,3.248,5.084,3.527,5.52
1003,1003_t0023,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-10-13,14,409,573.0,699.115,819.325,98.769,18.71,27.0,143.995,14.386,61.407,2.195,0.025,0.103,7.925,4.578,5.091,7.143,6.875,120.21,0.822,6.601,0.693,3.402,4.767,4.141,5.801
1003,1003_t0024,Shaw,—,moderator,moderator,1988,Presidential,1988-10-13,2,5,8.0,820.045,821.213,0.908,0.0,0.0,139.098,,68.193,,0.009,0.092,-1.177,4.405,4.405,6.127,7.709,1.168,0.777,0.0,0.0,4.281,6.849,5.507,8.811
1003,1003_t0025,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-10-13,10,191,277.0,821.366,886.462,56.721,1.85,5.0,132.29,28.454,66.115,2.969,0.023,0.104,4.457,3.421,3.498,4.738,4.848,65.096,0.871,2.618,0.37,2.934,4.255,3.367,4.884
1003,1003_t0026,Shaw,—,moderator,moderator,1988,Presidential,1988-10-13,4,75,115.0,894.635,924.745,22.029,4.8,8.0,110.951,4.398,58.91,2.185,0.025,0.118,6.748,2.9,3.325,4.645,5.383,30.11,0.732,10.667,0.6,2.491,3.819,3.405,5.22
1003,1003_t0027,Warner,—,moderator,moderator,1988,Presidential,1988-10-13,3,21,31.0,925.145,932.173,6.387,0.0,0.0,209.577,23.878,61.038,2.322,0.019,0.104,9.219,3.253,3.253,5.476,5.476,7.028,0.909,0.0,0.0,2.988,4.411,3.288,4.854
1003,1003_t0028,George H. W. Bush,Republican,winner,candidate,1988,Presidential,1988-10-13,1,3,4.0,932.931,934.447,1.516,0.0,0.0,211.25,,59.35,,0.039,0.182,-0.431,1.979,1.979,2.639,2.639,1.516,1.0,0.0,0.0,1.979,2.639,1.979,2.639
1003,1003_t0029,Warner,—,moderator,moderator,1988,Presidential,1988-10-13,1,4,4.0,935.205,940.006,4.801,0.0,0.0,235.629,,67.469,,0.028,0.154,3.065,0.833,0.833,0.833,0.833,4.801,1.0,0.0,0.0,0.833,0.833,0.833,0.833
1003,1003_t0030,Michael Dukakis,Democratic,loser,candidate,1988,Presidential,1988-10-13,1,10,13.0,940.064,940.589,0.525,0.0,0.0,,,63.686,,,,-1.278,19.048,19.048,24.809,24.762,0.525,1.0,0.0,0.0,19.048,24.762,19.048,24.762
1003,1003_t0031,Warner,—,moderator,moderator,1988,Presidential,1988-10-13,3,42,67.0,940.647,954.657,12.869,0.0,0.0,242.645,9.927,63.416,2.699,0.027,0.123,8.229,3.4,3.4,5.381,5.381,14.01,0.919,0.0,0.0,2.998,4.782,3.264,5.206
