sentence_id,debate_audio_id,duration_sec,n_words,f0_mean,f0_std,f0_min,f0_max,f0_range,f0_slope_hz_per_s,voiced_frac,intensity_mean_db,intensity_std_db,intensity_range_db,jitter_local,shimmer_local,hnr_mean_db,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,rms_mean,rms_std,total_pause_sec,n_pauses,mean_pause_sec,speech_duration_sec,speech_rate_wps,articulation_rate_wps,feature_status
1001_t0001_s001,1001,0.46,2,181.91242260866787,27.511249430418545,146.170032151169,229.4770966612139,83.30706451004488,206.84210547108992,1.0,75.64305901630561,2.944671052524793,12.262047883439351,0.015737278100693336,0.0891906011111398,11.48979134822583,1733.072799426165,3108.8541666666665,0.09768880208333333,0.12173392623662949,0.016918640583753586,0.0,0.0,0.0,0.4599999999999991,4.34782608695653,4.34782608695653,ok
1001_t0001_s002,1001,8.325,23,119.94839747015958,33.713043224075165,77.64707257697819,439.67845414852695,362.03138157154876,-5.967618364318581,0.7310012062726177,67.21573367627728,6.976411891303483,29.55386796375265,0.025544860550188418,0.10220413101734985,9.175276208504306,1704.0307344648552,3319.264846743295,0.10981089858716475,0.06327559798955917,0.029269542545080185,0.0,0.0,0.0,8.325,2.762762762762763,2.762762762762763,ok
1001_t0001_s003,1001,2.301,8,149.38201384323048,26.627776546557676,104.98543291315661,213.0241911221538,108.0387582089972,-6.875882189938631,0.9118942731277533,71.07150957052804,4.667680363270364,23.078001375238927,0.01788664594454359,0.07937190301691338,10.346481447405125,1573.3603945997347,3048.9366319444443,0.1043972439236111,0.08101803809404373,0.024588463827967644,0.0,0.0,0.0,2.3009999999999984,3.4767492394611064,3.4767492394611064,ok
1001_t0001_s004,1001,11.047,24,130.08444633993926,29.325226430973554,76.07257293000829,218.94887237358924,142.87629944358093,-1.7726992149105685,0.6176203451407811,63.18114555618556,9.108278477227051,36.666781554165404,0.019123016200428004,0.09510861103090854,9.307290884029907,1684.2999513322445,3247.154985549133,0.11355502619219653,0.045803364366292953,0.028176991268992424,0.33000000000000007,1.0,0.33000000000000007,10.717,2.172535530008147,2.239432677055146,ok
1001_t0001_s005,1001,11.805,30,139.37942771469193,40.88774069056635,76.15942831126168,499.36709299946574,423.2076646882041,-3.771110487195921,0.6338147833474936,64.36078681242456,9.48419400671146,38.41478258735043,0.02374031119892605,0.10977117275707698,9.821716810178833,1724.3965068728794,3412.411077235772,0.11156631097560976,0.053552545607089996,0.03034607693552971,0.7299999999999995,1.0,0.7299999999999995,11.075,2.5412960609911055,2.708803611738149,ok
1001_t0001_s006,1001,30.496,16,129.47503147608654,33.7461582465892,88.37629931419197,400.0087139766369,311.63241466244494,5.881650583377872,0.1303348653972423,72.25588621871405,6.413307874433175,36.9410518385305,0.022084916870578793,0.08920591673448519,-1.5280240490241321,2236.6928702429536,3948.2442348008385,0.21536990631551362,0.09563567489385605,0.027995292097330093,0.6900000000000004,2.0,0.3450000000000002,29.806,0.5246589716684155,0.5368046702006307,ok
1001_t0002_s001,1001,6.945,15,137.59752891734223,27.03752921719788,77.0719960341294,199.01884141625249,121.94684538212309,-9.088720309289071,0.6975397973950795,64.23539852444604,9.567452048224315,37.48832929218814,0.02311610258282903,0.09428423745634255,9.32640110945898,1779.8396107114727,3436.532396788991,0.12187320814220183,0.051397841423749924,0.02783491089940071,0.8399999999999999,2.0,0.41999999999999993,6.1050000000000075,2.159827213822892,2.457002457002454,ok
1001_t0002_s002,1001,4.783,14,116.81297423875462,19.07388997426121,86.21946315302647,170.7347272307379,84.51526407771142,-6.719921885935981,0.6463157894736842,60.95757402538237,8.191435779336624,32.55770292661173,0.0227533625783169,0.09032100740006872,9.086206016791785,1877.3904291487981,3613.5416666666665,0.13591796875,0.03336053714156151,0.0164314117282629,0.0,0.0,0.0,4.783000000000001,2.9270332427346846,2.9270332427346846,ok
1001_t0002_s003,1001,1.381,5,106.79847609731368,9.200961657519215,80.59918369795584,122.25795366774365,41.65876996978781,4.146295271036353,0.5555555555555556,61.52804045890197,6.125709525566242,20.661835157440528,0.03512833729811362,0.12001310114220692,6.737540107832883,2075.3644227567656,3892.755681818182,0.1545743075284091,0.03126272186636925,0.012942309491336346,0.0,0.0,0.0,1.3810000000000002,3.6205648081100645,3.6205648081100645,ok
1001_t0002_s004,1001,2.141,8,125.6667485309262,67.2750128785709,76.10612517591586,454.1653433160454,378.05921814012953,26.51361291043881,0.4928909952606635,56.9052622304156,8.38859921431228,30.458071851190567,0.038426314068023694,0.14014813556423159,6.584121230171867,2023.132796099606,3763.759328358209,0.14687062733208955,0.022155748680233955,0.0166152473539114,0.0,0.0,0.0,2.1410000000000053,3.7365716954693977,3.7365716954693977,ok
1001_t0002_s005,1001,6.724,15,137.23001273974018,30.282257774189464,89.86562220710842,235.34252326777857,145.47690106067017,-8.052022082797972,0.5829596412556054,61.741089164863226,10.004172847863765,38.32551117674473,0.022753694086065472,0.09633503309480158,9.774744695099033,1777.8355015732711,3505.3687796208533,0.1184625851599526,0.04245941713452339,0.0294217336922884,0.4600000000000004,1.0,0.4600000000000004,6.264000000000003,2.230814991076739,2.3946360153256694,ok
1001_t0002_s006,1001,7.833,16,138.24292513592997,42.362592365290666,79.4969820451739,374.1794714449112,294.6824893997373,-1.6721956423986202,0.5371794871794872,61.03167839273099,9.780752409619241,39.41806627839688,0.022865494297543056,0.0912749669298068,9.23063947182634,1978.0862903419602,3734.438775510204,0.14130261479591838,0.03877747803926468,0.02664864994585514,0.5500000000000003,1.0,0.5500000000000003,7.282999999999998,2.0426401123452065,2.1968968831525477,ok
1001_t0003_s001,1001,3.024,8,113.13008920002197,22.310818005932468,75.87385613385558,159.64213607957547,83.76827994571988,-14.624293487229108,0.6889632107023411,65.37658607927423,6.049142907697484,24.718237560937254,0.027109384406356726,0.08673659710263935,9.134354929362681,1652.6478656472657,3134.8684210526317,0.12211657072368422,0.04696781933307648,0.017376936972141266,0.0,0.0,0.0,3.0239999999999867,2.645502645502657,2.645502645502657,ok
1001_t0003_s002,1001,4.325,16,108.500395712816,12.311744492031174,75.62160264576228,137.58310474264673,61.961502096884445,-1.435814622288362,0.7668997668997669,66.13821894030305,6.0207210132650655,24.92763500490249,0.027397383381696224,0.08607197770595783,10.02098182814174,1539.4370090763969,3024.758731617647,0.10948629940257353,0.05159260332584381,0.018230458721518517,0.0,0.0,0.0,4.324999999999989,3.6994219653179288,3.6994219653179288,ok
1001_t0003_s003,1001,12.086,29,100.6463707560162,16.832955518899137,75.10962463653252,310.780864019735,235.6712393832025,-0.34409647962663464,0.6464730290456432,62.98263539970331,8.795258082087484,34.66369039302791,0.02214354598660555,0.08804941577895063,11.07053454096656,1395.9792760489527,2730.448082010582,0.09624049272486772,0.04299796745181084,0.023415260016918182,0.5300000000000002,3.0,0.17666666666666675,11.556000000000012,2.3994704616912106,2.509518864659049,ok
1001_t0003_s004,1001,12.197,35,118.13779094547915,23.242134030543117,75.08018035918568,170.89236583043643,95.81218547125076,-0.41583121101448967,0.5748355263157895,62.62548276849568,9.88807343266276,41.11041968620425,0.02409300421792915,0.08145125302242424,9.541202843700527,1852.943205515818,3724.476439790576,0.13062418193717276,0.04380795732140541,0.024957461282610893,1.0800000000000003,3.0,0.3600000000000001,11.116999999999974,2.8695580880544456,3.1483313843662932,ok
1001_t0003_s005,1001,5.083,15,121.2245057040802,19.709288696356317,75.38957849917377,153.9761010044932,78.58652250531942,-6.307836402336365,0.6653465346534654,63.53944667690697,8.488236186924157,36.16136027630411,0.023240697622832044,0.09238241116550072,9.237751934552831,1938.2684117170854,3881.191037735849,0.1292102741745283,0.044381532818078995,0.022977599874138832,0.2400000000000002,1.0,0.2400000000000002,4.842999999999998,2.9510131811922102,3.097253768325419,ok
1001_t0003_s006,1001,5.324,20,101.23107778238233,35.332740848260954,75.76569392913504,483.34735602630354,407.58166209716853,-4.562965889000354,0.7939508506616257,66.38095291675099,5.619746521049966,25.16191237664136,0.024738944086249243,0.091484396213356,9.39955818301584,1494.9326350273925,2767.5430389221556,0.1087931558757485,0.051505621522665024,0.01716919243335724,0.0,0.0,0.0,5.323999999999984,3.7565740045079004,3.7565740045079004,ok
1001_t0003_s007,1001,6.911,19,109.51587330206122,25.25734731205339,75.10359071654486,186.90527784095818,111.80168712441332,-1.8561253354714975,0.5101744186046512,61.30732845929332,9.273208219381486,35.6040089931756,0.029828418710255652,0.0954947579422841,8.222892744980577,1744.5297633444193,3515.986689814815,0.12530065465856483,0.039429523050785065,0.02488321252167225,0.5,2.0,0.25,6.411000000000001,2.7492403414845894,2.9636562158789572,ok
